name,phone,website,category,address
"Snack Corner","","","restaurant"," Bannerghatta Road,  "
"Athicas Canteen","","","fast_food"," ,  "
"Chai-Unchai","","","cafe"," ,  "
"Priti Departmental Store","","","convenience"," ,  "
"Adeshwara Electronics","","","electronics"," ,  "
"Meals House","","","fast_food"," ,  "
"Clinic","","","hospital"," ,  "
"Tata Book Store","","","books"," ,  "
"Shanti Hospital","","","hospital"," ,  "
"Sukh Sagar","","","restaurant"," Mahayogi Vemana Road,  "
"Avon Pub","","","pub","72 2nd Stage, 16th Main, BTM Layout, Bangalore "
"Apollo Hospital","+91-80-40222555","http://www.apolloclinicbangalore.com/","hospital","74/1 Outer Ring Road, Belandur, Bangalore 560037"
"Foodworld","","","supermarket"," ,  "
"Narayana Hrudayalaya Dental Clinic","","","hospital"," Outer Ring Road,  "
"Dr Ganesh Medical and Diabetic Clinic","","","hospital"," ,  "
"Shanti Sagar","","","restaurant"," ,  "
"Family Mall","","","supermarket"," ,  "
"Spencers Express","","https://www.spencers.in/","supermarket"," 7th Cross Road, Bangalore 560071"
"More","","","supermarket"," ,  "
"Srinidhi Sagar","","","fast_food"," ,  "
"Nandhini","","","restaurant"," 100 Feet Road,  "
"Pizza Hut","","","restaurant"," ,  "
"Nandhana","","","restaurant"," ,  "
"KFC","","","fast_food"," 100 Feet Road( S K Karim Khan Road),  "
"Sukh Sagar","","","restaurant"," ,  "
"Ashwin Pharma","","","pharmacy"," HAL Airport Road,  "
"MedPlus","","","pharmacy"," ,  "
"Simply Native","","","restaurant"," Paramahansa Yogananda Road,  "
"Subway","","","fast_food"," Indiranagar Double Road,  "
"Apollo Pharmacy","","","pharmacy"," ,  "
"Adyar Ananda Bhavan","","","restaurant"," ,  "
"Thom's Bakery","","","bakery","# 1/2 Wheeler Road,  560005"
"Reliance Fresh","","","supermarket"," ,  "
"Koshy's","","","restaurant","39 Saint Mark's Road, Bangalore 560001"
"Shoba","","","supermarket"," ,  "
"Smart","","","supermarket"," ,  "
"Bob's Bar","","","pub"," ,  "
"JBS Hospital","","","hospital"," Kanakapura Road,  "
"Jayanagar heart Centre","","","hospital"," ,  "
"Big Bazaar","","","supermarket"," ,  "
"Srujan Dental Care","","","dentist"," ,  "
"M M A Kababs","","","restaurant"," ITPL Main Road, Bangalore "
"Pizza Hut","","","restaurant"," Chinmaya Mission Hospital Road,  "
"Cafe Coffee Day","","","cafe"," 100 Feet Road(S K Karim Khan Road),  "
"Konārk","+918041248812","","restaurant"," , Beṅgaḷūru "
"Kamat Nandanvan","","","restaurant"," ,  "
"Old Madras Baking Company","","","cafe"," Saint Mark's Road, Bangalore 560001"
"Hard Rock Cafe","","","restaurant"," Saint Mark's Road,  "
"Sri Raghavendra","","","restaurant"," ,  "
"Anand Sagar Punjabi Dhaba","","","restaurant"," ,  "
"Mavalli Tiffin Rooms","+918022220022","http://www.mavallitiffinrooms.com","restaurant","14 Lalbagh Road,  560027"
"Hyderbad Biryani House","","","restaurant"," Victoria Road,  "
"Shop and save","","","convenience"," ,  "
"Sri Vijayalakshmi Pragathi Hospital","","","hospital"," ,  "
"Ginger Greens","+91-80-25434744","","restaurant","122/4 Outer Ring Road, Kalyan Nagar, Bangalore 560043"
"Dosa Camp","","","fast_food"," ,  "
"Navarang Bar","","","bar"," ,  "
"Fresh Supermarket","","","supermarket"," ,  "
"Cafe Coffee Day","","","cafe"," ,  "
"Foodworld Supermarket","","","supermarket"," ,  "
"Style Spa","","","furniture"," ,  "
"Sansar Collections","","","clothes"," ,  "
"Dental and Orthodontic Clinic","","","dentist"," ,  "
"Sathya Hospital","","","hospital"," ,  "
"Sathya Medicals","","","pharmacy"," ,  "
"Thambis's Inetcafé","","","cafe"," ,  "
"Cafe Moksh","","","cafe"," ,  "
"Hallimane","","","restaurant"," ,  "
"Kids Kemp","","","clothes"," ,  "
"Adiga's","","","restaurant"," Sampige Road,  "
"Infinitea","","","cafe","17/1 Cunningham Road, Bengaluru "
"Danube Home","","","furniture"," Outer Ring Road, Marathahalli, Bangalore "
"Little Angel Clinic for children","+91 99020 00934","http://www.littleangelsclinic.com/","doctors"," B Block, AECS Layout, Kundalahalli, Bangalore 560037"
"Srinivasa Medicals","","","pharmacy"," ITPL Main Road, near Hoodi Circle, Hoodi, Mahadevapura, Bangalore 560048"
"Yo China","+91-80-40980666","http://www.yo-china.com/","restaurant","90/3 Outer Ring Road (Opp. Innovative Multiplex), Marathahalli, Bangalore 560034"
"Rajasthani Parotha Point","","","fast_food"," ,  "
"Arya Vysya Refreshments","","","fast_food"," ,  "
"Reliance Fresh","","","convenience"," ITPL Main Road,  "
"Chord Road Hospital Pvt Ltd","+91-80-23225858;+91-80-23225868;+91-80-23225878","http://www.chordroadhospitalent.com/","hospital","100 West of Chord Road (LIC Colony), Basaveshwara Nagar, Bangalore 560079"
"Guru Sagar Hotel","","","restaurant"," WOC Road, Basaveshwara Nagar, Bangalore "
"Fresh@Heritage","","","convenience"," , Basaveshwara Nagar, Bangalore "
"Fair and Fair","","","convenience"," ,  "
"Ganesh Upahara","","","fast_food"," ,  "
"Nilgiris","","","supermarket"," ,  "
"Smart Bazaar","","","supermarket"," Marenahalli Road,  "
"Polar Bear","","","cafe"," ,  "
"Hav Mor","","","restaurant"," ,  "
"Pristline Hospital","+91-80-41354444;+91-80-51270776","http://www.pristinehospitals.com/","hospital","877 Modi Hospital Road (West of Chord Road), Basaveshwara Nagar, Bangalore 560079"
"Formula III Bar","","","bar"," Jayamahal Road, Bangalore "
"Hyderabad House","","","restaurant"," Hosur Road,  "
"McDonald's","","","fast_food"," Hosur Road, Bangalore "
"KFC","","","fast_food"," Hosur Road, Bangalore 560095"
"Nandhini Andhra Hotel","","","restaurant"," Thimmaiah Road,  "
"Cafe Coffee Day","","","cafe"," Sampige Road,  "
